texture9.bmp
4848
36864;6656;37888;0.250000;0.500000
36864;6656;36864;0.499985;0.500000
37888;7168;36864;0.499985;0.749985
36864;6656;37888;0.250000;0.500000
37888;7168;36864;0.499985;0.749985
37888;7168;37888;0.250000;0.749985
36864;6656;36864;0.750000;0.250000
36864;6656;37888;0.999985;0.250000
36864;5632;37888;0.999985;0.499985
36864;6656;36864;0.750000;0.250000
36864;5632;37888;0.999985;0.499985
36864;5632;36864;0.750000;0.499985
36864;6656;38912;0.250000;0.500000
36864;6656;37888;0.499985;0.500000
37888;7168;37888;0.499985;0.749985
36864;6656;38912;0.250000;0.500000
37888;7168;37888;0.499985;0.749985
37888;7168;38912;0.250000;0.749985
36864;6656;39936;0.250000;0.500000
36864;6656;38912;0.499985;0.500000
37888;7168;38912;0.499985;0.749985
36864;6656;39936;0.250000;0.500000
37888;7168;38912;0.499985;0.749985
37888;7168;39936;0.250000;0.749985
36864;6656;38912;0.750000;0.250000
36864;6656;39936;0.999985;0.250000
36864;5632;39936;0.999985;0.499985
36864;6656;38912;0.750000;0.250000
36864;5632;39936;0.999985;0.499985
36864;5632;38912;0.750000;0.499985
36864;6656;40960;0.250000;0.500000
36864;6656;39936;0.499985;0.500000
37888;7168;39936;0.499985;0.749985
36864;6656;40960;0.250000;0.500000
37888;7168;39936;0.499985;0.749985
37888;7168;40960;0.250000;0.749985
36864;6656;39936;0.750000;0.250000
36864;6656;40960;0.999985;0.250000
36864;5888;40960;0.999985;0.499985
36864;6656;39936;0.750000;0.250000
36864;5888;40960;0.999985;0.499985
36864;5632;39936;0.750000;0.499985
38912;6656;36864;0.499985;0.500000
38912;6656;37888;0.250000;0.500000
37888;7168;37888;0.250000;0.749985
38912;6656;36864;0.499985;0.500000
37888;7168;37888;0.250000;0.749985
37888;7168;36864;0.499985;0.749985
38912;6656;37888;0.499985;0.500000
38912;6656;38912;0.250000;0.500000
37888;7168;38912;0.250000;0.749985
38912;6656;37888;0.499985;0.500000
37888;7168;38912;0.250000;0.749985
37888;7168;37888;0.499985;0.749985
38912;6656;38912;0.499985;0.500000
38912;6656;39936;0.250000;0.500000
37888;7168;39936;0.250000;0.749985
38912;6656;38912;0.499985;0.500000
37888;7168;39936;0.250000;0.749985
37888;7168;38912;0.499985;0.749985
38912;6656;39936;0.499985;0.500000
38912;6656;40960;0.250000;0.500000
37888;7168;40960;0.250000;0.749985
38912;6656;39936;0.499985;0.500000
37888;7168;40960;0.250000;0.749985
